SEASON,TEAM,TEAM_PIS,TOP3_PIS,DEPTH_PIS,N_PLAYERS
2023-24,DEN,3.7122,7.9203,-1.3326,13
2023-24,DET,-7.619,0.0482,-4.9725,12
2023-24,GSW,4.1414,4.0415,2.3892,14
2023-24,HOU,2.6311,4.2579,0.3073,13
2023-24,IND,4.5159,4.6737,0.7632,11
2023-24,LAC,2.058,5.5654,-0.377,12
2023-24,LAL,0.7848,5.6171,-2.2876,12
2023-24,MEM,-1.9995,1.6372,-0.9625,13
2023-24,MIA,3.6252,4.3673,0.4485,13
2023-24,MIL,3.0331,5.6071,-1.8365,11
2023-24,MIN,7.944,4.5375,3.4064,9
2023-24,NOP,5.2876,3.9998,3.3482,14
2023-24,NYK,7.1532,5.7016,1.4516,8
2023-24,OKC,8.6487,6.7366,2.8204,12
2023-24,ORL,3.6931,3.1986,2.7679,14
2023-24,PHI,4.984,5.7142,-0.7302,10
2023-24,PHX,4.9532,4.2369,0.7163,10
2023-24,POR,-10.7192,1.0378,-3.3542,16
2023-24,SAC,2.4869,4.6587,0.0511,14
2023-24,SAS,-4.2154,2.2785,-1.8304,14
2023-24,TOR,-5.0195,1.9661,-6.9856,9
2023-24,UTA,-5.6758,2.8423,-3.6761,13
2023-24,WAS,-9.749,-0.1629,-5.2707,13
2024-25,2TM,-20.438,6.5183,4.2291,66
2024-25,3TM,-2.0105,-2.0105,0.0,3
2024-25,ATL,0.9974,2.187,0.574,12
2024-25,BKN,-7.3515,2.0138,-5.425,13
2024-25,BOS,8.0776,5.9132,5.6211,13
2024-25,CHA,-11.4393,2.8027,-4.4854,16
2024-25,CHI,-2.2258,3.0479,-3.0413,12
2024-25,CLE,9.001,6.0353,4.5557,12
2024-25,DAL,-0.2106,4.0635,-0.7088,14
2024-25,DEN,2.8096,6.9564,-0.4994,13
2024-25,DET,4.0261,4.1791,1.3638,12
2024-25,GSW,4.0977,3.8134,1.0538,12
2024-25,HOU,6.8509,5.1989,2.2021,14
2024-25,IND,2.7961,4.4781,-0.3048,12
2024-25,LAC,5.317,4.9261,0.3909,10
2024-25,LAL,0.9046,3.8174,-2.9128,10
2024-25,MEM,6.2397,3.7982,4.8013,14
2024-25,MIA,0.8634,3.0986,-0.4296,12
2024-25,MIL,3.9251,6.3388,-2.4136,10
2024-25,MIN,5.9528,4.3025,3.4739,13
2024-25,NOP,-8.8241,1.6814,-4.2612,16
2024-25,NYK,4.1891,5.1559,1.0737,12
2024-25,OKC,11.9274,8.4539,6.289,16
2024-25,ORL,0.9477,3.5979,1.227,16
2024-25,PHI,-6.756,1.5774,-2.4626,16
2024-25,PHX,0.4104,2.4179,-0.1888,12
2024-25,POR,-0.6022,2.859,0.304,15
2024-25,SAC,1.1899,3.6652,-2.4753,9
2024-25,SAS,-1.7303,3.2206,-1.653,13
2024-25,TOR,-2.2549,2.5642,-1.6652,13
2024-25,UTA,-8.0243,1.3309,-3.0252,14
2024-25,WAS,-8.6559,0.644,-6.2558,12
2025-26,2TM,-21.8836,3.5335,3.695,56
2025-26,3TM,-1.5352,-1.5352,0.0,3
2025-26,ATL,2.7409,3.44,-0.6992,8
2025-26,BKN,-9.9913,2.2505,-3.4234,15
2025-26,BOS,8.6587,4.4198,4.5179,11
2025-26,CHA,5.2947,4.2872,2.9063,13
2025-26,CHI,-1.9082,1.6838,-3.592,7
2025-26,CLE,4.273,4.901,0.7107,12
2025-26,DAL,-2.7355,1.533,-1.6239,13
2025-26,DEN,4.7674,8.2293,-0.8967,14
2025-26,DET,8.454,6.4839,3.3668,13
2025-26,GSW,1.615,4.3541,0.293,14
2025-26,HOU,4.061,5.5135,0.4924,12
2025-26,IND,-6.732,1.5056,-2.4402,15
2025-26,LAC,-1.2519,3.5376,-2.6655,12
2025-26,LAL,1.0827,5.9825,-1.3571,13
2025-26,MEM,-3.5391,3.2149,-0.9309,15
2025-26,MIA,4.1701,2.7206,3.0163,14
2025-26,MIL,-5.7959,3.6216,-3.4279,14
2025-26,MIN,4.5434,3.9766,1.459,11
2025-26,NOP,-4.2538,3.0419,-1.8355,14
2025-26,NYK,7.0056,4.5072,3.6617,12
2025-26,OKC,12.8499,8.2923,5.5082,14
2025-26,ORL,1.7299,2.6651,0.8101,14
2025-26,PHI,2.3857,4.5139,-0.7294,13
2025-26,PHX,2.445,3.4139,1.696,14
2025-26,POR,0.0695,4.8071,0.9195,15
2025-26,SAC,-10.2638,0.199,-3.9537,15
2025-26,SAS,9.016,6.5218,4.2146,13
2025-26,TOR,3.8117,4.1162,1.1818,12
2025-26,UTA,-7.6624,1.5559,-2.1424,15
2025-26,WAS,-11.4215,0.1773,-4.7976,15
